send_date,email_job_id,email_sender_name,email_content_name,email_subject,email_sends,email_unique_opens,email_unique_clicks,email_unique_unsubscribes
30/03/2025,4124127,Relacionamento,CAMPANHA 2025 - Volta às Aulas,Corre! Estoques limitados para volta às aulas,499398,114922,17855,1067
02/05/2025,4396741,Equipe Vendas,CAMPANHA 2025 - Férias,Você foi selecionado(a) para descontos de férias,743635,147885,10328,970
29/01/2025,4703961,Equipe CRM,CAMPANHA 2025 - Black Friday,Últimos dias da promoção black friday,331937,71033,4827,582
17/03/2025,4652052,Newsletter Especial,CAMPANHA 2025 - Férias,Preços imperdíveis nesta férias,432003,57037,10922,710
11/06/2025,4638137,Suporte ao Cliente,CAMPANHA 2025 - Natal,É hoje: campanha especial natal,144315,35517,5727,190
29/04/2025,4713207,Equipe Produtos,CAMPANHA 2025 - Volta às Aulas,Corre! Estoques limitados para volta às aulas,302026,81834,7782,137
14/03/2025,4328070,Equipe Marketing,CAMPANHA 2025 - Dia das Mães,Últimos dias da promoção dia das mães,551189,143036,9994,1190
07/05/2025,4344364,Marketing Digital,CAMPANHA 2025 - Black Friday,É hoje: campanha especial black friday,392527,99660,14069,764
07/04/2025,4614000,Relacionamento,CAMPANHA 2025 - Aniversário da Loja,Só até amanhã: aniversário da loja com frete grátis,186592,34754,4810,280
17/02/2025,4509915,Equipe Vendas,CAMPANHA 2025 - Dia das Mães,Corre! Estoques limitados para dia das mães,534009,151672,15206,784
18/02/2025,4422925,Time Promoções,CAMPANHA 2025 - Liquidação,Você foi selecionado(a) para descontos de liquidação,155356,36171,3453,110
01/06/2025,4278845,Equipe CRM,CAMPANHA 2025 - Inverno,Só até amanhã: inverno com frete grátis,196111,41858,4232,387
27/03/2025,4800931,Time Promoções,CAMPANHA 2025 - Natal,Não perca: novidades de natal,565679,67881,7294,614
15/04/2025,4259455,Time Promoções,CAMPANHA 2025 - Dia das Mães,Só até amanhã: dia das mães com frete grátis,785594,212818,13631,865
15/03/2025,4310719,Time Promoções,CAMPANHA 2025 - Verão,Preços imperdíveis nesta verão,602615,155396,13886,1364
09/06/2025,4378151,Comunicação Interna,CAMPANHA 2025 - Lançamento de Coleção,Só até amanhã: lançamento de coleção com frete grátis,554698,222708,48693,739
22/02/2025,4608589,Equipe Vendas,CAMPANHA 2025 - Natal,Corre! Estoques limitados para natal,270796,44252,3233,261
21/04/2025,4820858,Suporte ao Cliente,CAMPANHA 2025 - Aniversário da Loja,Descubra nossa nova coleção de aniversário da loja,165463,43854,9178,173
23/03/2025,4300631,Equipe Produtos,CAMPANHA 2025 - Natal,Corre! Estoques limitados para natal,450062,90046,8155,954
08/02/2025,4307009,Relacionamento,CAMPANHA 2025 - Liquidação,Surpresa! Presentes de liquidação esperando por você,385294,100561,6071,876
30/05/2025,4767474,Relacionamento,CAMPANHA 2025 - Dia das Mães,Oferta exclusiva de dia das mães só para você,370220,100615,19067,641
06/01/2025,4633221,Equipe Marketing,CAMPANHA 2025 - Lançamento de Coleção,Descubra nossa nova coleção de lançamento de coleção,792408,151383,19083,1325
06/04/2025,4037220,Newsletter Especial,CAMPANHA 2025 - Férias,Surpresa! Presentes de férias esperando por você,490009,140884,15209,588
27/02/2025,4349382,Comunicação Interna,CAMPANHA 2025 - Liquidação,Preços imperdíveis nesta liquidação,625937,125718,11509,1342
21/02/2025,4020382,Equipe CRM,CAMPANHA 2025 - Aniversário da Loja,Você foi selecionado(a) para descontos de aniversário da loja,123277,24395,1749,71
22/05/2025,4560538,Equipe Vendas,CAMPANHA 2025 - Volta às Aulas,Últimos dias da promoção volta às aulas,605574,185106,26642,768
04/02/2025,4519357,Marketing Digital,CAMPANHA 2025 - Black Friday,Só até amanhã: black friday com frete grátis,116034,39244,4648,122
19/04/2025,4959987,Equipe Vendas,CAMPANHA 2025 - Lançamento de Coleção,Não perca: novidades de lançamento de coleção,257143,69574,9036,569
04/02/2025,4941639,Equipe Produtos,CAMPANHA 2025 - Ano Novo,Não perca: novidades de ano novo,533106,147380,26438,246
23/04/2025,4926813,Equipe Vendas,CAMPANHA 2025 - Lançamento de Coleção,Só até amanhã: lançamento de coleção com frete grátis,583637,198590,38443,280
30/04/2025,4131350,Suporte ao Cliente,CAMPANHA 2025 - Aniversário da Loja,Só até amanhã: aniversário da loja com frete grátis,253782,84977,14001,247
28/04/2025,4861139,Newsletter Especial,CAMPANHA 2025 - Dia dos Pais,Você foi selecionado(a) para descontos de dia dos pais,89902,27557,2234,116
08/05/2025,4647294,Equipe CRM,CAMPANHA 2025 - Verão,Só até amanhã: verão com frete grátis,426370,123081,19645,900
08/02/2025,4847308,Suporte ao Cliente,CAMPANHA 2025 - Férias,Surpresa! Presentes de férias esperando por você,236901,51437,7912,107
22/04/2025,4120952,Equipe Produtos,CAMPANHA 2025 - Férias,É hoje: campanha especial férias,481792,109818,22849,985
20/03/2025,4440944,Comunicação Interna,CAMPANHA 2025 - Black Friday,Não perca: novidades de black friday,177264,58551,6081,347
11/05/2025,4997546,Equipe Marketing,CAMPANHA 2025 - Black Friday,Você foi selecionado(a) para descontos de black friday,345709,95851,13221,372
17/05/2025,4718327,Comunicação Interna,CAMPANHA 2025 - Dia das Mães,Preços imperdíveis nesta dia das mães,140282,31584,4530,269
20/03/2025,4081712,Newsletter Especial,CAMPANHA 2025 - Dia dos Pais,Oferta exclusiva de dia dos pais só para você,412140,94663,9974,199
22/04/2025,4738008,Marketing Digital,CAMPANHA 2025 - Aniversário da Loja,Corre! Estoques limitados para aniversário da loja,244771,79027,15874,369
02/02/2025,4841812,Marketing Digital,CAMPANHA 2025 - Aniversário da Loja,Descubra nossa nova coleção de aniversário da loja,682204,204451,26264,429
23/03/2025,4318625,Equipe Marketing,CAMPANHA 2025 - Dia dos Pais,Você foi selecionado(a) para descontos de dia dos pais,737379,193952,13743,1694
05/06/2025,4584523,Equipe Vendas,CAMPANHA 2025 - Liquidação,Surpresa! Presentes de liquidação esperando por você,149896,25510,2100,76
08/01/2025,4746354,Equipe CRM,CAMPANHA 2025 - Natal,Não perca: novidades de natal,308998,82604,10569,127
03/01/2025,4598721,Equipe CRM,CAMPANHA 2025 - Dia das Mães,Não perca: novidades de dia das mães,45657,21764,2908,63
18/01/2025,4741215,Equipe Marketing,CAMPANHA 2025 - Férias,Não perca: novidades de férias,670351,181933,21641,432
22/02/2025,4732331,Newsletter Especial,CAMPANHA 2025 - Ano Novo,Só até amanhã: ano novo com frete grátis,618546,152268,12891,817
11/01/2025,4195991,Comunicação Interna,CAMPANHA 2025 - Férias,Só até amanhã: férias com frete grátis,651050,157368,12372,675
17/02/2025,4453611,Relacionamento,CAMPANHA 2025 - Aniversário da Loja,Oferta exclusiva de aniversário da loja só para você,31483,7381,1573,41
20/04/2025,4115381,Equipe Produtos,CAMPANHA 2025 - Natal,Últimos dias da promoção natal,625867,144985,18112,366
20/05/2025,4032197,Marketing Digital,CAMPANHA 2025 - Lançamento de Coleção,Últimos dias da promoção lançamento de coleção,484120,77074,4531,436
31/01/2025,4243911,Relacionamento,CAMPANHA 2025 - Aniversário da Loja,É hoje: campanha especial aniversário da loja,202043,65221,12093,491
05/01/2025,4277769,Marketing Digital,CAMPANHA 2025 - Black Friday,Corre! Estoques limitados para black friday,453408,143980,11581,514
18/02/2025,4916627,Relacionamento,CAMPANHA 2025 - Dia das Mães,Descubra nossa nova coleção de dia das mães,155451,39407,2413,329
16/01/2025,4948579,Comunicação Interna,CAMPANHA 2025 - Liquidação,Você foi selecionado(a) para descontos de liquidação,156066,29753,1910,250
09/06/2025,4773212,Equipe CRM,CAMPANHA 2025 - Verão,Você foi selecionado(a) para descontos de verão,268687,79052,7602,539
17/04/2025,4618417,Equipe Marketing,CAMPANHA 2025 - Férias,Surpresa! Presentes de férias esperando por você,77356,19158,1604,150
17/01/2025,4898540,Equipe Marketing,CAMPANHA 2025 - Lançamento de Coleção,Preços imperdíveis nesta lançamento de coleção,529999,137063,29307,402
02/03/2025,4743955,Equipe Marketing,CAMPANHA 2025 - Dia das Mães,Preços imperdíveis nesta dia das mães,619766,151819,13325,1042
22/01/2025,4649409,Equipe Marketing,CAMPANHA 2025 - Volta às Aulas,Últimos dias da promoção volta às aulas,518642,99663,15017,1168
31/05/2025,4491561,Equipe Marketing,CAMPANHA 2025 - Ano Novo,Corre! Estoques limitados para ano novo,298389,84410,16802,689
27/01/2025,4962565,Suporte ao Cliente,CAMPANHA 2025 - Black Friday,É hoje: campanha especial black friday,81190,15897,1484,181
28/04/2025,4766248,Equipe Vendas,CAMPANHA 2025 - Férias,Você foi selecionado(a) para descontos de férias,694918,143105,8419,510
03/03/2025,4232855,Time Promoções,CAMPANHA 2025 - Inverno,Você foi selecionado(a) para descontos de inverno,505337,183080,13496,295
29/01/2025,4624470,Equipe CRM,CAMPANHA 2025 - Ano Novo,Oferta exclusiva de ano novo só para você,150791,52362,9562,206
25/04/2025,4074393,Marketing Digital,CAMPANHA 2025 - Ano Novo,Descubra nossa nova coleção de ano novo,471672,127147,6695,573
18/05/2025,4134615,Time Promoções,CAMPANHA 2025 - Dia das Mães,Você foi selecionado(a) para descontos de dia das mães,52410,11907,1148,121
27/02/2025,4210395,Newsletter Especial,CAMPANHA 2025 - Lançamento de Coleção,Oferta exclusiva de lançamento de coleção só para você,559119,168104,19003,945
15/04/2025,4458386,Relacionamento,CAMPANHA 2025 - Volta às Aulas,Não perca: novidades de volta às aulas,795553,215362,22087,341
16/03/2025,4949765,Suporte ao Cliente,CAMPANHA 2025 - Liquidação,Você foi selecionado(a) para descontos de liquidação,757689,101213,21172,572
20/05/2025,4047075,Equipe CRM,CAMPANHA 2025 - Liquidação,Descubra nossa nova coleção de liquidação,87857,22037,2706,73
27/02/2025,4791873,Newsletter Especial,CAMPANHA 2025 - Dia das Mães,Só até amanhã: dia das mães com frete grátis,286106,81808,14089,495
06/06/2025,4995975,Suporte ao Cliente,CAMPANHA 2025 - Ano Novo,Últimos dias da promoção ano novo,316865,99975,15644,790
28/02/2025,4771167,Equipe CRM,CAMPANHA 2025 - Ano Novo,Oferta exclusiva de ano novo só para você,793942,222684,38092,1656
